Purch_Keurig_L12m,Purch_Keurig_L6m,Purch_Keurig_L3m,Purch_kcups_L12m,Purch_kcups_L6m,Purch_kcups_L3m,Purch_kcups_lsize_L12m,Purch_kcups_lsize_L6m,Purch_kcups_lsize_L3m,Qty_kcups_L12M,Purch_Keurig_P35_L12M,Purch_Keurig_P35_L6M,Purch_Keurig_P35_L3M,holdout_flag
upc,upc,upc,upc,upc,upc,upc,upc,upc,qtyupc,upc,upc,upc,holdout
upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,upc,smple_flg
12,6,3,12,6,3,12,6,3,12,12,6,3,12
2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31,2017-08-31
64964520230,64964520230,64964520230,9955500537,9955500537,9955500537,9955508405,9955508405,9955508405,9955500537,,,,
64964520231,64964520231,64964520231,9955500539,9955500539,9955500539,9955508406,9955508406,9955508406,9955500539,,,,
64964520232,64964520232,64964520232,9955500620,9955500620,9955500620,9955508407,9955508407,9955508407,9955500620,,,,
64964520290,64964520290,64964520290,9955500621,9955500621,9955500621,9955508408,9955508408,9955508408,9955500621,,,,
64964520291,64964520291,64964520291,9955500622,9955500622,9955500622,9955508425,9955508425,9955508425,9955500622,,,,
64964520319,64964520319,64964520319,9955500624,9955500624,9955500624,9955508451,9955508451,9955508451,9955500624,,,,
64964520320,64964520320,64964520320,9955500625,9955500625,9955500625,9955508556,9955508556,9955508556,9955500625,,,,
64964520321,64964520321,64964520321,9955500626,9955500626,9955500626,9955508558,9955508558,9955508558,9955500626,,,,
64964527003,64964527003,64964527003,9955500663,9955500663,9955500663,9955508611,9955508611,9955508611,9955500663,,,,
64964527500,64964527500,64964527500,9955500720,9955500720,9955500720,9955508612,9955508612,9955508612,9955500720,,,,
,,,9955500722,9955500722,9955500722,9955508613,9955508613,9955508613,9955500722,,,,
,,,9955500723,9955500723,9955500723,9955508614,9955508614,9955508614,9955500723,,,,
,,,9955500724,9955500724,9955500724,9955508624,9955508624,9955508624,9955500724,,,,
,,,9955500735,9955500735,9955500735,9955508640,9955508640,9955508640,9955500735,,,,
,,,9955500750,9955500750,9955500750,9955508641,9955508641,9955508641,9955500750,,,,
,,,9955500758,9955500758,9955500758,9955508656,9955508656,9955508656,9955500758,,,,
,,,9955500791,9955500791,9955500791,9955508657,9955508657,9955508657,9955500791,,,,
,,,9955500793,9955500793,9955500793,9955508658,9955508658,9955508658,9955500793,,,,
,,,9955500804,9955500804,9955500804,9955508659,9955508659,9955508659,9955500804,,,,
,,,9955500808,9955500808,9955500808,9955508660,9955508660,9955508660,9955500808,,,,
,,,9955500992,9955500992,9955500992,9955508661,9955508661,9955508661,9955500992,,,,
,,,9955500994,9955500994,9955500994,9955508664,9955508664,9955508664,9955500994,,,,
,,,9955500998,9955500998,9955500998,9955515101,9955515101,9955515101,9955500998,,,,
,,,9955500999,9955500999,9955500999,9955515173,9955515173,9955515173,9955500999,,,,
,,,9955501420,9955501420,9955501420,9955515174,9955515174,9955515174,9955501420,,,,
,,,9955501421,9955501421,9955501421,9955515854,9955515854,9955515854,9955501421,,,,
,,,9955501422,9955501422,9955501422,9955515855,9955515855,9955515855,9955501422,,,,
,,,9955501444,9955501444,9955501444,61124735024,61124735024,61124735024,9955501444,,,,
,,,9955501538,9955501538,9955501538,61124735070,61124735070,61124735070,9955501538,,,,
,,,9955501539,9955501539,9955501539,61124735072,61124735072,61124735072,9955501539,,,,
,,,9955501752,9955501752,9955501752,61124735089,61124735089,61124735089,9955501752,,,,
,,,9955501753,9955501753,9955501753,61124735090,61124735090,61124735090,9955501753,,,,
,,,9955501777,9955501777,9955501777,61124735091,61124735091,61124735091,9955501777,,,,
,,,9955501792,9955501792,9955501792,61124735172,61124735172,61124735172,9955501792,,,,
,,,9955501800,9955501800,9955501800,61124735173,61124735173,61124735173,9955501800,,,,
,,,9955501802,9955501802,9955501802,61124735175,61124735175,61124735175,9955501802,,,,
,,,9955501803,9955501803,9955501803,61124735243,61124735243,61124735243,9955501803,,,,
,,,9955501870,9955501870,9955501870,61124735251,61124735251,61124735251,9955501870,,,,
,,,9955501871,9955501871,9955501871,61124735253,61124735253,61124735253,9955501871,,,,
,,,9955501932,9955501932,9955501932,61124735813,61124735813,61124735813,9955501932,,,,
,,,9955501938,9955501938,9955501938,61124736079,61124736079,61124736079,9955501938,,,,
,,,9955501939,9955501939,9955501939,61124736130,61124736130,61124736130,9955501939,,,,
,,,9955508305,9955508305,9955508305,64964515725,64964515725,64964515725,9955508305,,,,
,,,9955508306,9955508306,9955508306,64964515727,64964515727,64964515727,9955508306,,,,
